Common Course Title,Common Course Prefix,Common Course Number,Abilene Christian University,Alvin Community College,Amarillo College,Angelina College,Angelo State University,Austin Community College,Baylor University,Blinn College,Brazosport College,Central Texas College,Cisco College,Clarendon College,Coastal Bend College,College of the Mainland,Collin County Community College District,Dallas Baptist University,Dallas County Community College District,DCCCD Brookhaven College,DCCCD Cedar Valley College,DCCCD Eastfield College,DCCCD El Centro College,DCCCD Mountain View College,DCCCD North Lake College,DCCCD Richland College,Del Mar College,East Texas Baptist University,El Paso Community College District,Frank Phillips College,Galveston College,Grayson College,Hardin-Simmons University,Hill College,Houston Baptist University,Houston Community College System,Howard College,Howard Payne University,Huston-Tillotson University,Jacksonville College,Kilgore College,Lamar Institute of Technology-Beaumont,Lamar State College- Port Arthur,Lamar State College-Orange,Lamar University,Laredo Community College,Lee College,LeTourneau University,Lon Morris College (Closed in 2012),Lone Star College System,Lone Star College System-CyFair,Lone Star College System-Kingwood,Lone Star College System-Montgomery,Lone Star College System-North Harris,Lone Star College System-Tomball,McLennan Community College,McMurry University,Midland College,Midwestern State University,Navarro College,North Central Texas College,Northeast Lakeview College,Northeast Texas Community College,Northwest Vista College,Odessa College,Our Lady of the Lake University,Palo Alto College,Panola College,Paris Junior College,Prairie View A&M University,Ranger College,Sam Houston State University,San Antonio College,San Jacinto College Central,San Jacinto College District,San Jacinto College North,San Jacinto College South,South Plains College,South Texas College,Southern Methodist University,Southwest Collegiate Institute for the Deaf,Southwest Texas Junior College,Southwestern University,St. Mary's University,St. Philip's College,Stephen F. Austin State University,Sul Ross State University,Tarleton State University,Tarrant County College District,Temple College,Texarkana College,Texas A&M International University,Texas A&M University,Texas A&M University-Commerce,Texas A&M University-Corpus Christi,Texas A&M University-Galveston,Texas A&M University-Kingsville,Texas A&M University-Texarkana,Texas Southern University,Texas Southmost College,Texas State Technical College System,Texas State Technical College-Harlingen,Texas State Technical College-Marshall,Texas State Technical College-Waco,Texas State Technical College-West Texas,Texas State University,Texas Tech University,Texas Wesleyan University,Texas Woman's University,Trinity Valley Community College,Tyler Junior College,University of Houston,University of Houston-Clear Lake,University of Houston-Downtown,University of Houston-Victoria,University of Mary Hardin-Baylor,University of North Texas,University of North Texas at Dallas,University of St. Thomas,University of Texas - Rio Grande Valley,University of Texas at Arlington,University of Texas at Austin,University of Texas at Dallas,University of Texas at El Paso,University of Texas at San Antonio,University of Texas at Tyler,University of Texas Health Science Center at Houston,University of Texas Health Science Center at San Antonio,University of Texas of the Permian Basin,University of the Incarnate Word,Vernon College,Victoria College,Wayland Baptist University,Weatherford College,West Texas A&M University,Western Texas College,Wharton County Junior College,Wiley College
Introduction to Architecture,ARCH,1311,,,,,,,,ARCH 1311,,,,,,,,,ARCH 1311,,,,,,,,ARCH 1311,,ARCH 1311,,,,,,,,,,,,,,,,,,ARCH 1311,,,,,,,,,,,,,,,,,,,,,,,,,,ARCH 1311,,,,,,ARCH 1311,,,,,,,,,,ARCH 1311,,,,ENDS 101,,,ENDS 101,,,,ARCH 1311,,,,,,,ARCH 1311,,,,,,,,,,,,GENE 1000,,,ARC 308,,,ARC 1113,,,,,,,,,,,,,
Architectural Computer Graphics,ARCH,1315,,,,,,,,ARCH 1315,,,,,,,,,ARCH 1315,,,,,,,,ARCH 1315,,ARCH 1315,,,,,,,,,,,,,,,,,,ARCH 1315,,,,,,,,,,,,,,,,,,,,,,,,,,ARCH 1315,,,,,ARCH 1315,,,,,,,,,,,ARCH 1315,,,,,,,,,,,ARCH 1415,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Architectural Design I,ARCH,1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARCH 1403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENDS 105,,,ENDS 105,,,,ARCH 1403,,,,,,,ARCH 2501,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Architectural Design II,ARCH,1404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARCH 1404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENDS 106,,,ENDS 106,,,,ARCH 1404,,,,,,,ARCH 2502,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Architectural Graphics I,ARCH,1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENDS 115,,,ENDS 115,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Architectural Freehand Drawing I,ARCH,2201,,,ARCH 2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Architectural Freehand Drawing I,ARCH,2301,,,,,,,,,,,,,,,,,ARCH 2301,,,,,,,,,,ARCH 2301,,,,,,,,,,,,,,,,,,ARCH 2301,,,,,,,,,,,,,,,,,,,,,,,,,,ARCH 2301,,,,,,,,,,,,,,,,ARCH 2301,,,,,,,,,,,ARCH 2301,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Architectural Freehand Drawing II,ARCH,2302,,,,,,,,,,,,,,,,,ARCH 2302,,,,,,,,,,ARCH 2302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARCH 2302,,,,,,,,,,,,,,,,ARCH 2302,,,,,,,,,,,ARCH 2302,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Architectural Technology,ARCH,2312,,,,,,,,ARCH 2312,,,,,,,,,ARCH 2312,,,,,,,,ARCH 2312,,ARCH 2312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARCH 2312,,,,,,,,,,,,,,,,ARCH 2312,,,,COSC 253,,,COSC 253,,,,ARCH 2312,,,,,,,ARCH 2351,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Art Appreciation,ARTS,1301,ART 101,ARTS 1301,ARTS 1301,ARTS 1301,ARTS 1301,ARTS 1301,ART 1300,ARTS 1301,ARTS 1301,,ARTS 1301,ARTS 1301,ART 306,ARTS 1301,ARTS 1301,,ARTS 1301,,,,,,,,ART 305,,ARTS 1301,,ARTS 1301,ARTS 1301,ART 1300,ARTS 1301,ART 2343,ARTS 1301,ARTS 1301,ART 1361,,ARTS 1301,ARTS 1301,ARTS 1301,,ARTS 1301,ARTS 1301,ARTS 1301,ARTS 1301,HUMA 1153,,ARTS 1301,,,,,,ARTS 1301,ART 1300,ARTS 1301,ART 1413,ARTS 1301,ARTS 1301,ARTS 1301,ARTS 1301,ARTS 1301,ARTS 1301,ARTS 1361,ARTS 1301,ART 301,ARTS 1301,,ARTS 1301,ARTS 1301,ARTS 1301,,ARTS 1301,,,ARTS 1301,ARTS 1301,,,ARTS 1301,ARH71 003,,ARTS 1301,ART 280,ART 1301,ARTS 1301,ARTS 1301,ARTS 1301,ARTS 1301,ARTS 1301,,ART 1301,ARTS 1301,,,ARTS 1301,,ARTS 1301,,ARTS 1301,,,,,ART 1309,,ART 2713,ARTS 1301,ARTS 1301,,,ART 1310,,ARTS 1350,ART 1300,ART 1300,ARTHS 1350,ARTS 1301,ART 1301,ARH 301,ARTS 1301,ART 1300,ART 1103,ART 1301,,,ARTS 1301,,,ARTS 1301,ART 1301,ARTS 1301,,ARTS 1301,,
Art History I (Prehistoric to the 14th Century),ARTS,1303,ART 221,ARTS 1303,ARTS 1303,ARTS 1303,ARTS 1303,ARTS 1303,ART 2302,ARTS 1303,ARTS 1303,ARTS 1303,,ARTS 1303,ART 353,ARTS 1303,ARTS 1303,ART 2319,ARTS 1303,,,,,,,,ART 303,,ARTS 1303,,ARTS 1303,ARTS 1303,ART 2306,ARTS 1303,,ARTS 1303,ARTS 1303,,,,ARTS 1303,,,,ARTS 1303,ARTS 1303,ARTS 1303,,,ARTS 1303,,,,,,ARTS 1303,ART 2301,ARTS 1303,,ARTS 1303,ARTS 1303,ARTS 1303,ARTS 1303,ARTS 1303,ARTS 1303,ARTS 2361,ARTS 1303,,ARTS 1303,,,ARTS 1303,ARTS 1303,,ARTS 1303,,,ARTS 1303,ARTS 1303,,,ARTS 1303,ARH71 003,,ARTS 1303,ART 281,ART 1303,ARTS 1303,ARTS 1303,ARTS 1303,,ARTS 1303,ARTS 149,ART 1303,ARTS 1303,ARTS 149,ARTS 1303,,ART 136,ARTS 1303,,ARTS 1303,,,,ARTH 2301,ARTH 1301,,ART 2403,ARTS 1303,ARTS 1303,ARTH 1380,ARTS 1303,ART 1301,,ARTS 2351,ART 2350,ART 2350,ARTHS 2351,ARTS 1303,ART 1309,ARH 302,AHST 1303,ARTH 1305,AHC 1113,ART 2303,,,ARTS 1303,ARTH 2361,,ARTS 1303,ART 2308,ARTS 1303,ARTS 1303,,ARTS 1303,
Art History II (14th Century to the Present),ARTS,1304,ART 222,ARTS 1304,ARTS 1304,ARTS 1304,ARTS 1304,ARTS 1304,ART 2303,ARTS 1304,ARTS 1304,ARTS 1304,,ARTS 1304,ART 354,ARTS 1304,ARTS 1304,ART 2320,ARTS 1304,,,,,,,,ART 304,,ARTS 1304,,ARTS 1304,ARTS 1304,ART 2307,ARTS 1304,,ARTS 1304,ARTS 1304,,,,ARTS 1304,,,,ARTS 1304,ARTS 1304,ARTS 1304,,,ARTS 1304,,,,,,ARTS 1304,ART 2302,ARTS 1304,,ARTS 1304,ARTS 1304,ARTS 1304,ARTS 1304,ARTS 1304,ARTS 1304,,ARTS 1304,,ARTS 1304,,,,ARTS 1304,,ARTS 1304,,,ARTS 1304,ARTS 1304,,,ARTS 1304,ARH71 003,,ARTS 1304,ART 282,ART 1304,ARTS 1304,ARTS 1304,ARTS 1304,,ARTS 1304,ARTS 150,,ARTS 1304,ARTS 150,ARTS 1304,ARTS 1304,,ARTS 1304,,ARTS 1304,,,,ARTH 2302,ARTH 2302,,ART 2413,ARTS 1304,ARTS 1304,ARTH 1381,ARTS 1304,ART 1302,,ARTS 2352,ART 2360,ART 2360,ARTHS 2352,ARTS 1304,ART 1310,ARH 303,AHST 1304,ARTH 1306,AHC 1123,ART 2304,,,ARTS 1304,ARTH 2362,,ARTS 1304,ART 2309,ARTS 1304,ARTS 1304,,ARTS 1304,
Design I (2-Dimensional),ARTS,1311,ART 105,ARTS 1311,ARTS 1311,ARTS 1311,ARTS 1311,ARTS 1311,ART 1314,ARTS 1311,ARTS 1311,ARTS 1311,ARTS 1311,,ARTS 1311,ARTS 1311,ARTS 1311,ART 1301,ARTS 1311,,,,,,,,ART 302K,,ARTS 1311,,ARTS 1311,ARTS 1311,ART 1302,ARTS 1311,ART 1313,ARTS 1311,ARTS 1311,ART 1351,,ARTS 1311,ARTS 1311,,,ARTS 1311,ARTS 1311,ARTS 1311,ARTS 1311,,,ARTS 1311,,,,,,ARTS 1311,ART 1310,ARTS 1311,ART 1113,ARTS 1311,ARTS 1311,ARTS 1311,ARTS 1311,ARTS 1311,ARTS 1311,ARTS 1313,ARTS 1311,ART 308,ARTS 1311,,,ARTS 1311,ARTS 1311,,ARTS 1311,,,ARTS 1311,ARTS 1311,,ARTS 1311,ARTS 1311,ART68 003,,ARTS 1311,ART 110,ART 1311,ARTS 1311,ARTS 1311,ARTS 1311,ARTS 1311,ARTS 1311,ARTS 103,,ARTS 1311,ARTS 103,ARTS 1311,,ART 133,ARTS 1311,,,,,,ARTF 1301,ART 1302,,ART 1203,ARTS 1311,ARTS 1311,ART 1330,ARTS 1311,ART 1303,,ARTS 1320,ART 1440,,GENE 1000,ARTS 1311,ART 1305,ART 301C,ARTS 2380,ARTF 1301,ART 1003,ART 1311,,,,ARTS 1311,,ARTS 1311,ART 2303,ARTS 1311,ARTS 1311,ARTS 1311,ARTS 1311,
Design II (3-Dimensional),ARTS,1312,ART 106,ARTS 1312,ARTS 1312,,ARTS 1312,ARTS 1312,ART 1316,ARTS 1312,ARTS 1312,ARTS 1312,ARTS 1312,,ART 302,ARTS 1312,ARTS 1312,ART 1302,ARTS 1312,,,,,,,,ART 302L,,ARTS 1312,,ARTS 1312,ARTS 1312,ART 2302,ARTS 1312,ART 1323,ARTS 1312,ARTS 1312,,,,ARTS 1312,,,,ARTS 1312,ARTS 1312,ARTS 1312,,,ARTS 1312,,,,,,ARTS 1312,ART 2321,ARTS 1312,ART 1123,ARTS 1312,ARTS 1312,ARTS 1312,ARTS 1312,ARTS 1312,ARTS 1312,ARTS 2313,ARTS 1312,,ARTS 1312,,,ARTS 1312,ARTS 1312,,ARTS 1312,,,ARTS 1312,ARTS 1312,,ARTS 1312,,ART68 003,,ARTS 1312,ART 130,ART 1312,ARTS 1312,ARTS 1312,ARTS 1312,ARTS 1312,ARTS 1312,,,ARTS 1312,,ARTS 1312,,ART 134,ARTS 1312,,,,,,ARTF 1303,ART 2303,,ART 1213,ARTS 1312,ARTS 1312,ART 1320,,ART 1304,ARTS 2313,ARTS 2340,ART 1450,,GENE 1000,ARTS 1312,ART 1306,ART 303C,ARTS 2381,ARTF 1303,ART 1013,ART 1312,,,,ARTS 2311,,ARTS 1312,,ARTS 1312,ARTS 1312,ARTS 1312,ARTS 1312,
Foundations of Art,ARTS,1313,,,,ARTS 1313,,,,,,,,,ART 355,ARTS 1313,ARTS 1313,,ARTS 1313,,,,,,,,,,,,,,,,ART 1303,,ARTS 1313,,,ARTS 1313,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARTS 1313,,,,,,,,,,ARTS 1313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ART 1309,,,ARTS 1313,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,ARTS 1313,
Drawing I,ARTS,1316,ART 111,ARTS 1316,ARTS 1316,ARTS 1613,ARTS 1316,ARTS 1316,ART 1310,ARTS 1316,ARTS 1316,ARTS 1316,ARTS 1316,,ART 303,ARTS 1316,ARTS 1316,ART 1303,ARTS 1316,,,,,,,,ART 301K,,ARTS 1316,,ARTS 1316,ARTS 1316,ART 1301,ARTS 1316,,ARTS 1316,ARTS 1316,ART 1311,,,ARTS 1316,,,ARTS 1316,ARTS 1316,ARTS 1316,ARTS 1316,,,ARTS 1316,,,,,,ARTS 1316,ART 2300,ARTS 1316,ART 1313,ARTS 1316,ARTS 1316,ARTS 1316,ARTS 1316,ARTS 1316,ARTS 1316,ARTS 1301,ARTS 1316,ART 306,ARTS 1316,,ARTS 1316,ARTS 1316,ARTS 1316,,ARTS 1316,,,ARTS 1316,ARTS 1316,,ART 1313,ARTS 1316,ART68 114,,ARTS 1316,ART 100,ART 1316,ARTS 1316,ARTS 1316,ARTS 1316,ARTS 1316,ARTS 1316,ARTS 111,,ARTS 1316,ARTS 111,ARTS 1316,,ART 131,ARTS 1316,,,,,,ARTF 1302,ART 1303,,ART 1303,ARTS 1316,ARTS 1316,ART 1301,ARTS 1316,ART 1305,,ARTS 1310,ART 1500,,GENE 1000,ARTS 1316,ART 1307,ART 302C,ARTS 1316,ARTF 1302,ART 1213,ART 1316,,,,ARTS 1301,,ARTS 1316,ART 1302,ARTS 1316,ARTS 1316,ARTS 1316,ARTS 1316,
Drawing II,ARTS,1317,ART 112,ARTS 1317,ARTS 1317,,ARTS 1317,ARTS 1317,ART 1311,ARTS 1317,ARTS 1317,ARTS 1317,ARTS 1317,,ART 304,ARTS 1317,ARTS 1317,ART 2303,ARTS 1317,,,,,,,,ART 301L,,ARTS 1317,,ARTS 1317,ARTS 1317,ART 1311,ARTS 1317,,ARTS 1317,ARTS 1317,ART 1321,,,ARTS 1317,,,,ARTS 1317,ARTS 1317,ARTS 1317,,,ARTS 1317,,,,,,ARTS 1317,ART 2304,ARTS 1317,ART 1323,ARTS 1317,ARTS 1317,ARTS 1317,ARTS 1317,ARTS 1317,ARTS 1317,ARTS 2301,ARTS 1317,ART 307,ARTS 1317,,,,ARTS 1317,,ARTS 1317,,,ARTS 1317,ARTS 1317,,ART 1314,ARTS 1317,ART68 003,,ARTS 1317,ART 101,ART 1317,ARTS 1317,ARTS 1317,ARTS 1317,ARTS 1317,ARTS 1317,,,ARTS 1317,,ARTS 1317,,ART 132,ARTS 1317,,,,,,,ART 2304,,ART 1313,ARTS 1317,ARTS 1317,,,ART 1306,,,ART 1510,,GENE 1000,ARTS 1317,ART 2308,ART 315K,,ARTF 1304,ART 1223,,,,,ARTS 2301,,ARTS 1317,,ARTS 1317,ARTS 1317,ARTS 1317,ARTS 1317,
Drawing & Painting,ARTS,1325,,,,,,,,,,,ARTS 1325,,,ARTS 1325,,,,,,,,,,,ART 302Q,,,,,ARTS 1325,,,,,,,,,,,,,,ARTS 1325,,,,,,,,,,,,,,,,,,,,,ARTS 1325,ART 304,ARTS 1325,,,,ARTS 1325,,,,,,ARTS 1325,,,ARTS 1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARTS 1325,,,,,,GENE 1000,,,,,,ART 1143,,,,,,,,,,,,,
Academic Cooperative,ARTS,2289,,,ARTS 2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARTS 2289,,,,,,,,,ARTS 2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Design III,ARTS,2311,,,,,,,,,ARTS 2311,ARTS 2311,,,ART 307,ARTS 2311,ARTS 2311,,ARTS 2311,,,,,,,,ART 312K,,,,,ARTS 2311,,,,,,,,,,,ARTS 2311,,ARTS 2311,ARTS 2311,,,,ARTS 2311,,,,,,,ART 2321,ARTS 2311,,,,,ARTS 2311,ARTS 2311,,,ARTS 2311,,ARTS 2311,,,ARTS 2311,ARTS 2311,,ARTS 2311,,,,,,,,ART68 003,,ARTS 2311,,,,,,,,,,,,,,,,,,,,,ARTF 1304,,,,ARTS 2311,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Design Communications I,ARTS,2313,,,,,,,,ARTS 2313,ARTS 2313,ARTS 2313,ARTS 2313,,,,,,ARTS 2313,,,,,,,,,,,,,,,,,,,,,,ARTS 2313,,ARTS 2313,,,ARTS 2313,ARTS 2313,,,ARTS 2313,,,,,,ARTS 2313,,,ART 2713,,,,ARTS 2313,,,,,,ARTS 2313,,,,,,ARTS 2313,,,,ARTS 2313,,,,,,ARTS 2313,,ART 2313,,ARTS 2313,ARTS 2313,,,,,,,ARTS 2313,,,ARTS 2313,,,,,,,,,,,,,,,,,,,GENE 1000,ARTS 2313,,,,,,,,,,,,,,,ARTS 2313,,,
Design Communications II,ARTS,2314,,,,,,,,ARTS 2314,ARTS 2314,ARTS 2314,,,,,,,ARTS 2314,,,,,,,,,,,,,,,,,,,,,,ARTS 2314,,ARTS 2314,,,ARTS 2314,ARTS 2314,,,ARTS 2314,,,,,,,,,,,,,ARTS 2314,,,,,,ARTS 2314,,,,,,ARTS 2314,,,,ARTS 2314,,,,,,ARTS 2314,,,,ARTS 2314,ARTS 2314,,,,,,,,,,ARTS 2314,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Painting I,ARTS,2316,,ARTS 2316,ARTS 2316,ARTS 2316,,ARTS 2316,,ARTS 2316,ARTS 2316,ARTS 2316,ARTS 2316,,ART 351,ARTS 2316,ARTS 2316,ART 2310,ARTS 2316,,,,,,,,ART 314K,,ARTS 2316,,ARTS 2316,ARTS 2316,ART 2313,ARTS 2316,,ARTS 2316,ARTS 2316,ART 2321,,ARTS 2316,ARTS 2316,,ARTS 2316,,,ARTS 2316,ARTS 2316,,,ARTS 2316,,,,,,ARTS 2316,ART 2310,ARTS 2316,ART 2313,ARTS 2316,ARTS 2316,ARTS 2316,ARTS 2316,ARTS 2316,ARTS 2316,,ARTS 2316,ART 340,ARTS 2316,,,,ARTS 2316,,ARTS 2316,,,ARTS 2316,ARTS 2316,,ART 2320,ARTS 2316,ART68 003,,ARTS 2316,ART 210,ART 2316,ARTS 2316,ARTS 2316,ARTS 2316,ARTS 2316,ARTS 2316,,,ARTS 2316,,ARTS 2316,,ART 231,ARTS 2316,,,,,,ARTS 2351,,,ART 1503,ARTS 2316,ARTS 2316,,ARTS 2316,ART 2303,,ARTS 2320,ASTU 2210,,GENE 1000,ARTS 2316,ART 2371,ART 311K,ARTS 2316,PNTG 2301,ART 2113,ART 2316,,,,,,ARTS 2316,ART 1304,ARTS 2316,ARTS 2316,ARTS 2316,ARTS 2316,
Painting II,ARTS,2317,,ARTS 2317,,ARTS 2317,,ARTS 2317,,,ARTS 2317,ARTS 2317,ARTS 2317,,ART 352,ARTS 2317,ARTS 2317,,ARTS 2317,,,,,,,,ART 314L,,ARTS 2317,,ARTS 2317,ARTS 2317,,ARTS 2317,,ARTS 2317,ARTS 2317,ART 2331,,ARTS 2317,ARTS 2317,,ARTS 2317,,,ARTS 2317,ARTS 2317,,,ARTS 2317,,,,,,ARTS 2317,,ARTS 2317,,ARTS 2317,ARTS 2317,ARTS 2317,ARTS 2317,ARTS 2317,ARTS 2317,,ARTS 2317,ART 341,ARTS 2317,,,,ARTS 2317,,ARTS 2317,,,ARTS 2317,ARTS 2317,,ARTS 2317,ARTS 2317,ART68 003,,ARTS 2317,,,,ARTS 2317,ARTS 2317,ARTS 2317,,,,,,,,ART 232,ARTS 2317,,,,,,,,,,ARTS 2317,ARTS 2317,,,ART 2304,,,,,GENE 1000,ARTS 2317,,,,PNTG 2331,,,,,,,,,,ARTS 2317,,,ARTS 2317,
Life Drawing I,ARTS,2323,ART 213,,ARTS 2323,ARTS 2323,,ARTS 2323,ART 2310,ARTS 2323,ARTS 2323,ARTS 2323,,,ART 305,ARTS 2323,ARTS 2323,,ARTS 2323,,,,,,,,ART 316K,,ARTS 2323,,,ARTS 2323,ART 2301,,,ARTS 2323,ARTS 2323,,,,,,,,ARTS 2323,ARTS 2323,ARTS 2323,,,ARTS 2323,,,,,,ARTS 2323,,ARTS 2323,,,,,,ARTS 2323,ARTS 2323,,ARTS 2323,,ARTS 2323,,,,ARTS 2323,,ARTS 2323,,,ARTS 2323,ARTS 2323,,,ARTS 2323,ART68 003,,ARTS 2323,,ART 2323,,ARTS 2323,ARTS 2323,ARTS 2323,ARTS 2323,,,ARTS 2323,,,,,,,,,,,ARTS 2321,,,ART 2303,,ARTS 2323,,,ART 2301,,,ASTU 2200,,GENE 1000,,,ART 316K,,DRAW 2308,,,,,,,,ARTS 2323,,ARTS 2323,ARTS 2323,ARTS 2323,,
Sculpture I,ARTS,2326,,ARTS 2326,,ARTS 2326,,ARTS 2326,ART 2344,,ARTS 2326,,ARTS 2326,,ART 309,ARTS 2326,ARTS 2326,ART 2311,ARTS 2326,,,,,,,,ART 313K,,ARTS 2326,,ARTS 2326,,ART 2315,,,ARTS 2326,ARTS 2326,,,,ARTS 2326,,,,,ARTS 2326,ARTS 2326,,,ARTS 2326,,,,,,ARTS 2326,,ARTS 2326,ART 2523,ARTS 2326,ARTS 2326,,ARTS 2326,ARTS 2326,ARTS 2326,,ARTS 2326,ARTS 2326,ARTS 2326,,,,ARTS 2326,,ARTS 2326,,,,ARTS 2326,,ARTS 2326,ARTS 2326,ART68 003,,ARTS 2326,ART 230,ART 2326,ARTS 2326,ARTS 2326,ARTS 2326,ARTS 2326,ARTS 2326,,,ARTS 2326,,ARTS 2326,,,ARTS 2326,,,,,,ARTS 2381,,,ART 2753,ARTS 2326,ARTS 2326,,,,,,,,GENE 1000,ARTS 2326,,ART 313K,,SCUL 2302,ART 2613,ART 2326,,,,,,,ART 1305,,ARTS 2326,,,
Printmaking I,ARTS,2333,,,,ARTS 2333,,ARTS 2333,,,ARTS 2333,,,,ART 359,ARTS 2333,ARTS 2333,,ARTS 2333,,,,,,,,ART 311K,,ARTS 2333,,,ARTS 2333,ART 2314,,,ARTS 2333,ARTS 2333,,,,,,,,,ARTS 2333,ARTS 2333,,,ARTS 2333,,,,,,,,ARTS 2333,ART 2153,,,,,ARTS 2333,,,ARTS 2333,,,,,,ARTS 2333,,ARTS 2333,,,,ARTS 2333,,ARTS 2333,,ART68 003,,ARTS 2333,ART 220,,,ARTS 2333,,,ARTS 2333,,,ARTS 2333,,ARTS 2333,,,ARTS 2333,,,,,,ARTS 2371,,,,,ARTS 2333,,,,,,,,GENE 1000,ARTS 2333,,ART 310P,,PRNT 2305,ART 2413,ART 2333,,,,,,,ART 2307,,ARTS 2333,ARTS 2333,,
Art Metals I,ARTS,2341,,ARTS 2341,,,,ARTS 2341,ART 2350,ARTS 2341,ARTS 2341,ARTS 2341,,,,,ARTS 2341,,ARTS 2341,,,,,,,,,,ARTS 2341,,,,,,,ARTS 2341,,,,,,,,,,ARTS 2341,,,,ARTS 2341,,,,,,,,ARTS 2341,ART 2813,,ARTS 2341,ARTS 2341,ARTS 2341,,,,,,ARTS 2341,,,,ARTS 2341,,ARTS 2341,,,ARTS 2341,ARTS 2341,,,ARTS 2341,,,,ART 240,,,ARTS 2341,ARTS 2341,,,,,,,,,,,,,,,,,,,,ARTS 2341,,,,,,,ASTU 2150,,GENE 1000,ARTS 2341,,,,MTLS 2303,,ART 2341,,,,,,,,,ARTS 2341,,,
Ceramics I,ARTS,2346,,ARTS 2346,ARTS 2346,ARTS 2346,,ARTS 2346,ART 2340,ARTS 2346,ARTS 2346,ARTS 2346,,,ART 356,ARTS 2346,ARTS 2346,,ARTS 2346,,,,,,,,ART 317K,,ARTS 2346,,ARTS 2346,ARTS 2346,ART 2317,,,ARTS 2346,ARTS 2346,,,,,,,,,ARTS 2346,ARTS 2346,,,ARTS 2346,,,,,,ARTS 2346,ART 1313,ARTS 2346,ART 2613,ARTS 2346,ARTS 2346,ARTS 2346,ARTS 2346,ARTS 2346,ARTS 2346,,ARTS 2346,ART 342,ARTS 2346,,,,ARTS 2346,,ARTS 2346,,,ARTS 2346,ARTS 2346,,,ARTS 2346,ART68 003,,ARTS 2346,ART 250,ART 2346,,ARTS 2346,ARTS 2346,ARTS 2346,ARTS 2346,,,ARTS 2346,,ARTS 2346,,ART 237,ARTS 2346,,,,,,ARTS 2311,,,ART 2823,ARTS 2346,ARTS 2346,,,,,ARTS 2360,ASTU 2050,,GENE 1000,ARTS 2346,,,,CERM 2304,ART 2713,ART 2379,,,,ARTS 2342,,ARTS 2346,ART 2306,,ARTS 2346,ARTS 2346,,
Ceramics II,ARTS,2347,,ARTS 2347,,,,ARTS 2347,ART 2341,ARTS 2347,ARTS 2347,ARTS 2347,,,ART 357,ARTS 2347,ARTS 2347,,ARTS 2347,,,,,,,,ART 317L,,ARTS 2347,,ARTS 2347,ARTS 2347,,,,ARTS 2347,ARTS 2347,,,,,,,,,ARTS 2347,ARTS 2347,,,ARTS 2347,,,,,,ARTS 2347,,,,ARTS 2347,ARTS 2346,ARTS 2347,ARTS 2347,ARTS 2347,ARTS 2347,,ARTS 2347,ARTS 2347,ARTS 2347,,,,ARTS 2347,,ARTS 2347,,,ARTS 2347,ARTS 2347,,,ARTS 2347,ART68 003,,ARTS 2347,,ART 2347,,ARTS 2347,ARTS 2347,ARTS 2347,,,,,,,,ART 238,ARTS 2347,,,,,,,,,ART 2833,ARTS 2347,ARTS 2347,,,,,,,,GENE 1000,ARTS 2347,,,,CERM 2314,,,,,,,,,,,,,,
